record_1,record_2,is_duplicate,group_id
1,2,1,1
1,3,1,1
2,3,1,1
4,5,1,2
4,6,1,2
5,6,1,2
7,8,1,3
9,10,1,4
9,11,1,4
10,11,1,4
12,13,1,5
14,15,1,6
14,16,1,6
15,16,1,6
17,18,1,7
19,20,1,8
19,21,1,8
20,21,1,8
22,23,1,9
24,25,1,10
24,26,1,10
25,26,1,10
27,28,1,11
29,30,1,12
31,32,1,13
31,33,1,13
32,33,1,13
34,35,1,14
36,37,1,15
36,38,1,15
37,38,1,15
39,40,1,16
41,42,1,17
43,44,1,18
43,45,1,18
44,45,1,18
46,47,1,19
48,49,1,20
50,51,1,21
52,53,1,22
52,54,1,22
53,54,1,22
55,56,1,23
57,58,1,24
59,60,1,25
59,61,1,25
60,61,1,25
62,63,1,26
64,65,1,27
66,67,1,28
66,68,1,28
67,68,1,28
69,70,1,29
71,72,1,30
73,74,1,31
73,75,1,31
74,75,1,31
76,77,1,32
78,79,1,33
80,81,1,34
80,82,1,34
81,82,1,34
83,84,1,35
